LOCATION,HWF_0010,HWF_0010-footnote,HWF_0010-footnote-short,HWF_0006,HWF_0006-footnote,HWF_0006-footnote-short,HWF_0001,HWF_0001-footnote,HWF_0001-footnote-short,MDG_0000000003_15_19,MDG_0000000003_15_19-footnote,MDG_0000000003_15_19-footnote-short,SDGSUICIDE,SDGSUICIDE-footnote,SDGSUICIDE-footnote-short,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP-footnote,FINPROTECTION_CATA_TOT_10_POP-footnote-short,FINPROTECTION_CATA_TOT_25_POP,FINPROTECTION_CATA_TOT_25_POP-footnote,FINPROTECTION_CATA_TOT_25_POP-footnote-short,MDG_0000000003_10_14,MDG_0000000003_10_14-footnote,MDG_0000000003_10_14-footnote-short,SDGFPALL,SDGFPALL-footnote,SDGFPALL-footnote-short,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV-footnote,SDGHEPHBSAGPRV-footnote-short,SDGPOISON,SDGPOISON-footnote,SDGPOISON-footnote-short,WHOSIS_000002_BTSX,WHOSIS_000002_BTSX-footnote,WHOSIS_000002_BTSX-footnote-short,WHOSIS_000002_FMLE,WHOSIS_000002_FMLE-footnote,WHOSIS_000002_FMLE-footnote-short,WHOSIS_000002_MLE,WHOSIS_000002_MLE-footnote,WHOSIS_000002_MLE-footnote-short,HWF_0014,HWF_0014-footnote,HWF_0014-footnote-short,M_Est_tob_curr_std,M_Est_tob_curr_std-footnote,M_Est_tob_curr_std-footnote-short,MDG_0000000025,MDG_0000000025-footnote,MDG_0000000025-footnote-short,WHS4_100,WHS4_100-footnote,WHS4_100-footnote-short,MDG_0000000020,MDG_0000000020-footnote,MDG_0000000020-footnote-short,SDGWSHBOD,SDGWSHBOD-footnote,SDGWSHBOD-footnote-short,SDGHIV,SDGHIV-footnote,SDGHIV-footnote-short,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE-footnote,MALARIA_EST_INCIDENCE-footnote-short,NCDMORT3070,NCDMORT3070-footnote,NCDMORT3070-footnote-short,SA_0000001688,SA_0000001688-footnote,SA_0000001688-footnote-short,MDG_0000000007,MDG_0000000007-footnote,MDG_0000000007-footnote-short,MCV2,MCV2-footnote,MCV2-footnote-short,SDGAIRBODA,SDGAIRBODA-footnote,SDGAIRBODA-footnote-short,WHOSIS_000003,WHOSIS_000003-footnote,WHOSIS_000003-footnote-short,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED-footnote,UHC_INDEX_REPORTED-footnote-short,SDGIHR2021,SDGIHR2021-footnote,SDGIHR2021-footnote-short,PCV3,PCV3-footnote,PCV3-footnote-short,MDG_0000000026,MDG_0000000026-footnote,MDG_0000000026-footnote-short,RS_198,RS_198-footnote,RS_198-footnote-short,SDGNTDTREATMENT,SDGNTDTREATMENT-footnote,SDGNTDTREATMENT-footnote-short,WHOSIS_000001_BTSX,WHOSIS_000001_BTSX-footnote,WHOSIS_000001_BTSX-footnote-short,WHOSIS_000001_FMLE,WHOSIS_000001_FMLE-footnote,WHOSIS_000001_FMLE-footnote-short,WHOSIS_000001_MLE,WHOSIS_000001_MLE-footnote,WHOSIS_000001_MLE-footnote-short,SDGODA01,SDGODA01-footnote,SDGODA01-footnote-short,SDGHPVRECEIVED,SDGHPVRECEIVED-footnote,SDGHPVRECEIVED-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote-short,AMR_INFECT_MRSA,AMR_INFECT_MRSA-footnote,AMR_INFECT_MRSA-footnote-short,AMR_INFECT_ECOLI,AMR_INFECT_ECOLI-footnote,AMR_INFECT_ECOLI-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_DRUGS,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote-short,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS-footnote,SDGHEALTHFACILITIESESSENTIALMEDS-footnote-short
Saint Kitts and Nevis,2.55,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,65.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,30.85,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,100,"Skilled health personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2023 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 21 September 2023). ",,96,,,2.5,,,,,,No data,,,,,,,,,7.0,,,16.3,,,94,,,,,,10.3,,,79,,,68,,,,,,74,,,23.1,,,286,Aggregation across diseases,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,
Saint Lucia,1.76,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,53.43,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,42.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.9,Registration National Statistics & WPP2024,,5.3,,,6.17,,,1.77,,,0.8,Registration National Statistics & WPP2024,,,,,0.2,,,0.1,,,61.8,,,63.6,,,60.1,,,4.48,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,13.8,The most recent survey was conducted in 2019. This is a projection.,,100,"Skilled health personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2023 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 21 September 2023). ",,74,,,1.3,,,5.8,,,No data,,,,,,15.5,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,11.4,,,15.5,,,83,,,28,,,10.0,,,77,,,61,,,,,,44,,,8.9,,,75,Aggregation across diseases,,71.1,,,74.5,,,68.0,,,16.48,,,81,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,47.38,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,37.9,Registration National Statistics & WPP2024,,0.4,,,,,,,,,1.8,Registration National Statistics & WPP2024,,,,,0.2,,,0.0,,,62.9,,,64.5,,,61.5,,,,,,,,,99,"Skilled health personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2023 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 21 September 2023). ",,94,,,14,,,5.3,,,No data,,,,,,23.6,,,6.8,,,10.6,,,92,,,36,,,5.8,,,69,,,56,,,,,,56,,,4.8,,,759,Aggregation across diseases,,72.6,,,75.5,,,70.0,,,2.88,,,,,,,,,,,,,,,,,,,,
Samoa,0.9,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,30.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.61,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,54.9,Samoa 2019-2020 Multiple Indicator Cluster Survey,,12.0,,,,,,,,,0.4,Samoa 2019-2020 Multiple Indicator Cluster Survey,,27,2019-2020.    Samoa 2019-2020 Multiple Indicator Cluster Survey,,0.3,,,0.3,,,61.6,,,61.9,,,61.3,,,0.24,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.5,The most recent survey was conducted in 2019-20. This is a projection.,,89," Samoa Bureau of Statistics. 2021. Samoa Demographic and Health - Multiple Indicator Cluster Survey 2019-20, Survey Findings Report. Apia, Samoa: Samoa Bureau of Statistics.",,83,,,5.2,,,8.2,,,No data,,,,,,32.3,,,2.9,,,15.7,,,75,,,146,,,6.2,,,55,,,47,,,93,,,101,,,9.6,,,191 219,Aggregation across diseases,,70.3,,,71.6,,,69.1,,,12.43,,,87,,,,,,,,,,,,,,,,,
San Marino,7.42,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,94.36,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,46.29,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.2,0,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,10.98,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,91,,,0,,,,,,No data,,,,,,,,,,,,1.4,,,79,,,,,,0.6,,,77,,,29,,,83,,,8,,,5.9,,,0,Aggregation across diseases,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0.27,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,21.65,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,4.64,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,86.1,Sao Tome and Principe 2019 Multiple Indicator Cluster Survey,,0.9,,,4.83,,,1.15,,,0.4,Sao Tome and Principe 2019 Multiple Indicator Cluster Survey,,57.7,2019.    Sao Tome and Principe 2019 Multiple Indicator Cluster Survey,,1.3,,,0.3,,,62.4,,,62.6,,,62.3,,,1.64,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.8,The most recent survey was conducted in 2019. This is a projection.,,97," Inquérito de Indicadores Múltiplos (MICS) 2019, Relatório final. São Tomé: Instituto Nacional de Estatística (INE), UNICEF; 2020 (in Portuguese).",,86,,,111,,,16.7,,,No data,,,10.17,,,19.5,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,5.7,,,13.9,,,90,,,226,,,6.8,,,59,,,47,,,86,,,75,,,11.7,,,101 989,Aggregation across diseases,,71.2,,,72.8,,,69.6,,,16.71,,,80,,,,,,,,,,,,,,,,,
Saudi Arabia,7.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,65.57,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,34.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.3,Saudi Arabia 2022 Census,,0.9,,,1.31,,,0.58,,,,,,53.6,2023.    Saudi Arabia 2023 Women Health and Reproductive Care Survey,,0.0,,,0.3,,,65.6,,,65.1,,,65.8,,,11.07,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,14.9,The most recent survey was conducted in 2019. This is a projection.,,100, General Authority for Statistics. Women Health and Reproductive Care Survey 2024. Riyadh (Saudi Arabia): General Authority for Statistics; 2024.,,97,,,8.4,,,1.9,,,<0.1,,,0,,,13.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,,,,6.2,,,96,,,91,,,3.0,,,74,,,95,,,97,,,7,,,18.5,,,15 056,Aggregation across diseases,,76.4,,,77.4,,,75.7,,,,,,39,,,,,,52,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,52.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,19.8,,,,,
Senegal,0.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,4.24,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,67.4,Senegal 2020-2021 Malaria Indicators Survey,,6.8,,,6.86,,,1.3,,,4.3,Senegal 2020-2021 Malaria Indicators Survey,,55.7,2023.    Senegal 2023 Demographic and Health Survey,,0.9,,,0.8,,,58.9,,,59.2,,,58.6,,,0.2,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.5,The most recent survey was conducted in 2017. This is a projection.,,94,"Doctors, midwives, nurses, chefs de poste (ICP) and assistants Enquête démographique de santé continue (EDS-Continue). Agence Nationale de la Statistique et de la Démographie (ANSD), Dakar-Sénégal et Programme DHS, ICF, Rockville, Maryland, États-Unis",,83,,,110,,,31.7,,,0.16,,,66.35,,,21.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.4,,,38.5,,,64,,,146,,,22.3,,,50,,,53,,,80,,,237,,,20.8,,,4 101 016,Aggregation across diseases,,67.8,,,69.5,,,65.9,,,4.8,,,25,,,,,,,,,,,,,,,7.7,* data from only capital city ,
Serbia,2.47,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,66.89,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,30.99,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,13.9,Registration Eurostat,,15.1,,,8.53,,,0.58,,,0.2,Registration Eurostat,,38.4,2019.    Serbia 2019 Multiple Indicator Cluster Survey,,0.0,,,0.3,,,63.9,,,65.4,,,62.4,,,1.55,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,39.5,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2019. This is a projection.,,100," Statistical Office of the Republic of Serbia and UNICEF. Serbia Multiple Indicator Cluster Survey and Serbia Roma Settlements Multiple Indicator Cluster Survey, 2019, Survey Findings Report. Belgrade, Serbia: Statistical Office of the Republic of Serbia and UNICEF; 2019.",,93,,,14,,,3.9,,,<0.1,,,,,,20.7,,,9.0,,,5.2,,,91,,,72,,,3.2,,,72,,,73,,,82,,,11,,,7.4,,,0,Aggregation across diseases,,72.8,,,75.6,,,70.0,,,4.45,,,2,,,,,,,,,,,,,,,,,
Seychelles,3.51,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,73.2,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,65.98,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,49.0,Registration National Statistics & WPP2024,,4.3,,,,,,,,,0.7,Registration National Statistics & WPP2024,,,,,0.1,,,0.3,,,64.7,,,65.2,,,64.3,,,4.22,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.2,The most recent survey was conducted in 2013. This is a projection.,,100,"Skilled health staff Seychelles Annual Health Sector Performance Report 2022. Ministry of Health, Seychelles; 2023.",,97,,,21,,,8.4,,,No data,,,,,,15.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,11.4,,,14.3,,,89,,,43,,,8.5,,,75,,,68,,,97,,,42,,,6.6,,,0,Aggregation across diseases,,74.0,,,75.6,,,72.6,,,,,,54,,,,,,,,,,,,,,,,,
Sierra Leone,0.02,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.63,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,101.9,Sierra Leone 2019 Demographic and Health Survey,,6.1,,,16.4,,,3.04,,,3.9,Sierra Leone 2019 Demographic and Health Survey,,53,2019. Female and male sterilisation combined.   Sierra Leone 2019 Demographic and Health Survey,,2.0,,,1.2,,,53.1,,,53.0,,,53.2,,,0.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.9,The most recent survey was conducted in 2019. This is a projection.,,87," Sierra Leone Demographic and Health Survey 2019. Freetown, Rockville, Maryland: Statistics Sierra Leone (Stats SL), ICF; 2020.",,91,,,283,,,69.5,,,0.39,,,293.11,,,23.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.3,,,94.3,,,73,,,242,,,29.3,,,41,,,55,,,93,,,354,,,13.8,,,7 398 716,Aggregation across diseases,,61.0,,,61.9,,,60.2,,,7.14,,,39,,,,,,,,,,,,,,,,,
Singapore,4.61,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,65.59,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,28.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.9,Registration National Statistics & WPP2024,,8.1,,,,,,,,,0.0,Registration National Statistics & WPP2024,,,,,0.1,,,0.0,,,73.6,,,75.0,,,72.4,,,6.65,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2019. This is a projection.,,100,"Doctor, ambulance officer, paramedic, midwife, nurse  Registry of Births and Deaths 2022, Immigration and Checkpoints Authority Singapore",,98,,,42,,,8.5,,,<0.1,,,,,,10.3,,,2.0,,,2.1,,,92,,,23,,,0.9,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,96,,,93,,,6,,,1.9,,,9939,Aggregation across diseases,,83.9,,,86.3,,,81.6,,,,,,69,,,,,,31.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,25.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Slovakia,5.43,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,60.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.97,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.8,Registration Eurostat,,9.9,,,2.65,,,0.04,,,0.3,Registration Eurostat,,,,,0.3,,,0.6,,,64.9,,,66.9,,,63.0,,,8.47,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,32.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.,,97," National Health Information Centre of the Slovak Republic, data for year 2023. Country Consultation 2024",,96,,,4.3,,,3.6,,,<0.1,,,,,,16.6,,,11.0,,,6.1,,,95,,,30,,,3.0,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,50,,,96,,,4,,,6.4,,,10,Aggregation across diseases,,74.5,,,78.0,,,71.1,,,,,,10,,,,,,,,,,,,8.4,,,,,
Slovenia,7.43,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,105.63,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,33.67,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.3,Registration Eurostat,,18.9,,,3.69,,,0.31,,,0,Registration Eurostat,,,,,1.1,,,0.2,,,69.4,,,70.9,,,67.9,,,7.34,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.1,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,,,,89,,,4.6,,,1.9,,,No data,,,,,,11.6,,,10.9,,,2.2,,,89,,,19,,,1.3,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,81,,,58,,,3,,,5.8,,,16,Aggregation across diseases,,80.4,,,83.4,,,77.5,,,,,,45,,,,,,,,,,,,,,,,,
Solomon Islands,0.51,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.38,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,49.1,Solomon Islands 2019 Census,,19.6,,,,,,,,,,,,38,2015.    Solomon Islands 2015 Demographic and Health Survey,,0.9,,,0.6,,,57.4,,,58.5,,,56.3,,,0.78,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2015. This is a projection.,,86,"Doctor, midwife, registered nurse and nurse aid Solomon Islands National Statistics Office, Solomon Islands Ministry of Health and Medical Services (SIMoHMS), Pacific Community (SPC), Australian Aid, United Nations Children’s Fund (UNICEF) . Solomon Islands Demographic and Health Survey 2015. Noumea: SPC; 2017. ",,84,,,55,,,32.7,,,No data,,,237.04,,,40.6,,,0.8,,,20.6,,,48,,,282,,,8.3,,,47,,,50,,,81,,,123,,,11.2,,,722 398,Aggregation across diseases,,64.8,,,67.3,,,62.6,,,12.33,,,69,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,115.6,Somalia 2018-2019 Health and Demographic Survey,,8.0,,,0.13,,,0,,,1.2,Somalia 2018-2019 Health and Demographic Survey,,2.1,2018-2019. Excluding male and female sterilization.   Somalia 2018-2019 Health and Demographic Survey,,6.3,,,3.2,,,47.4,,,48.7,,,46.2,,,,,,,,,32,"Doctor/clinical officer or nurse/midwife/auxiliary midwife The Somali Health and Demographic Survey (SHDS) 2020. Mogadishu: Directorate of National Statistics, Federal Government of Somalia; 2020. ",,42,,,243,,,99.2,,,No data,,,58.89,,,27.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.0,,,104.0,,,13,,,248,,,34.9,,,27,,,33,,,,,,563,,,20.2,,,3 780 177,Aggregation across diseases,,54.0,,,56.3,,,51.7,,,5.68,,,,,,,,,,,,,,,,,,,,
South Africa,0.19,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,63.93,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,40.1,Registration National Statistics & WPP2024,,22.3,,,,,,,,,1.3,Registration National Statistics & WPP2024,,79.7,2016. Lactational amenorrhea (LAM) treated as a traditional method.   South Africa 2016 Demographic and Health Survey,,3.1,,,1.7,,,52.8,,,53.8,,,51.7,,,2.7,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,97," National Department of Health (NDoH), Statistics South Africa (Stats SA), South African Medical Research Council (SAMRC), ICF. South Africa Demographic and Health Survey 2016. Pretoria, South Africa and Rockville, Maryland, USA: NDoH, Stats SA, SAMRC, ICF; 2019. 
",,79,,,427,,,27.6,,,2.7,,,0.84,,,22.7,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,7.8,,,34.7,,,84,,,74,,,11.7,,,71,,,63,,,84,,,118,,,24.5,,,14 069 347,Aggregation across diseases,,61.5,,,64.0,,,58.9,,,1.22,,,72,,,,,,16.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,30,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
South Sudan,0.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.91,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,7.9,,,11.71,,,2.71,,,,,,,,,13.0,,,1.6,,,50.5,,,51.4,,,49.6,,,0.15,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,40, The South Sudan LQAS Household Survey 2020,,73,,,227,,,68.1,,,0.56,,,253.16,,,22.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.8,,,98.7,,,,,,144,,,40.2,,,34,,,43,,,,,,692,,,23.3,,,9 622 332,Aggregation across diseases,,58.6,,,60.6,,,56.5,,,8.03,,,,,,,,,,,,,,,,,,,,
Spain,6.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,64.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,42.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,4.6,Registration Eurostat,,8.7,,,7.87,,,1.12,,,0.1,Registration Eurostat,,,,,0.1,,,0.3,,,71.1,,,71.8,,,70.3,,,12.29,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,28.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,,100, INEbase. Goals and targets from the 2030 Agenda for Sustainabale Development. Indicator 3.1.2 [online database]. Madrid: Insittuto Nacional de Estadística (INE) [Spain]; 2024 (https://www.ine.es/dynt3/ODS/en/objetivo.htm?id=4846) accessed February 23 2024). ,,93,,,5.9,,,3.2,,,<0.1,,,,,,9.3,,,11.0,,,3.1,,,92,,,10,,,1.7,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,78,,,92,,,3,,,3.5,,,180,Aggregation across diseases,,82.7,,,85.3,,,80.0,,,,,,75,,,,,,,,,,,,,,,,,
Sri Lanka,0.96,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.36,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.2,Registration National Statistics & WPP2024,,14.7,,,5.44,,,0.9,,,0.0,Registration National Statistics & WPP2024,,74.3,2016.    Sri Lanka 2016 Demographic and Health Survey (national),,0.3,,,0.2,,,66.7,,,68.3,,,65.1,,,1.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,19.5,The most recent survey was conducted in 2019-20. This is a projection.,,100," Sri Lanka Demographic and Health Survey 2016. Battaramulla: Department of Census and Statistics (DCS), Ministry of Health, Nutrition and Indigenous Medicine; 2017.   ",,99,,,62,,,4.8,,,<0.01,,,0,,,13.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,2.7,,,6.1,,,99,,,92,,,4.1,,,67,,,66,,,,,,18,,,11.5,,,94 495,Aggregation across diseases,,77.2,,,80.1,,,74.2,,,0.96,,,25,,,,,,51.3,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,58.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
